left_label,right_label,metric,pair_count,left_mean,right_mean,mean_difference,ci_low,ci_high,t_statistic,p_value,dataset
hybrid:E1,hybrid:E2,evidence_overlap,500,0.19620279999999998,0.12260040000000001,0.0736024,0.066984855,0.08084613,20.801131064105938,1.1519462855981654e-69,hybrid
hybrid:E1,hybrid:E2,rouge_l,500,0.2311396,0.16314859999999998,0.06799100000000001,0.06248764000000001,0.07358028,23.710568231472234,8.52019806284149e-84,hybrid
hybrid:E1,hybrid:E2,semantic_sim,500,0.9072996,0.9060537999999999,0.0012458000000000065,-0.001281694999999993,0.003591400000000008,0.9889103018181029,0.3231862956233988,hybrid
hybrid:E1,hybrid:E2,bert_score_f1,500,0.8433776000000001,0.8367146,0.006663000000000002,0.005226450000000001,0.0081392,8.899154011591133,1.0413844887543939e-17,hybrid
hybrid:E1,hybrid:E3,evidence_overlap,500,0.19620279999999998,0.1871198,0.009083,0.003312695000000001,0.014657219999999993,3.0320969501493424,0.0025549263922598642,hybrid
hybrid:E1,hybrid:E3,rouge_l,500,0.2311396,0.2221698,0.0089698,0.004353004999999999,0.013927579999999995,3.5206990476794577,0.00046985991127526205,hybrid
hybrid:E1,hybrid:E3,semantic_sim,500,0.9072996,0.9072112000000001,8.840000000000247e-05,-0.0023980049999999947,0.0026939900000000033,0.06832635898971641,0.9455532112509166,hybrid
hybrid:E1,hybrid:E3,bert_score_f1,500,0.8433776000000001,0.841962,0.0014156000000000025,0.00022972500000000183,0.0026648700000000045,2.355202916947404,0.018898782910469147,hybrid
hybrid:E1,hybrid:E4,evidence_overlap,500,0.19620279999999998,0.0360642,0.1601386,0.15395388,0.16601208999999997,51.224025057629,7.483984236089219e-201,hybrid
hybrid:E1,hybrid:E4,rouge_l,500,0.2311396,0.1431688,0.0879708,0.0821808,0.093965865,30.311188809606698,3.140406050832663e-115,hybrid
hybrid:E1,hybrid:E4,semantic_sim,500,0.9072996,0.91146,-0.004160399999999998,-0.006895415000000001,-0.0013713849999999978,-2.970964877396633,0.00311180691391267,hybrid
hybrid:E1,hybrid:E4,bert_score_f1,500,0.8433776000000001,0.7959026,0.047475,0.046069165,0.04881963999999999,65.1206260011646,4.4985036031356053e-246,hybrid
retrieval_only:E1,retrieval_only:E2,evidence_overlap,500,0.1353838,0.0979224,0.037461400000000006,0.031548155,0.043172925,12.737371662068242,2.2466093626979298e-32,retrieval_only
retrieval_only:E1,retrieval_only:E2,rouge_l,500,0.1780002,0.13447840000000003,0.0435218,0.03934522,0.047786264999999994,19.886992760102494,3.0655286842932615e-65,retrieval_only
retrieval_only:E1,retrieval_only:E2,semantic_sim,500,0.8975894000000001,0.9106862000000001,-0.0130968,-0.015717035000000004,-0.010183415000000001,-9.142184078621453,1.5460665840691755e-18,retrieval_only
retrieval_only:E1,retrieval_only:E2,bert_score_f1,500,0.835943,0.8388604000000001,-0.0029174000000000005,-0.004198605000000002,-0.0016696200000000016,-4.458387919552118,1.0208099129858167e-05,retrieval_only
retrieval_only:E1,retrieval_only:E3,evidence_overlap,500,0.1353838,0.1369282,-0.0015444000000000002,-0.007054594999999999,0.004294849999999998,-0.5559076811418718,0.5785231308212326,retrieval_only
retrieval_only:E1,retrieval_only:E3,rouge_l,500,0.1780002,0.1775944,0.0004058000000000006,-0.003570495,0.004528934999999992,0.2016856290077369,0.8402446893092703,retrieval_only
retrieval_only:E1,retrieval_only:E3,semantic_sim,500,0.8975894000000001,0.8980353999999999,-0.0004460000000000004,-0.002507510000000001,0.0016152149999999982,-0.41084499709728767,0.6813625629789942,retrieval_only
retrieval_only:E1,retrieval_only:E3,bert_score_f1,500,0.835943,0.8354826000000001,0.00046039999999999883,-0.00044032999999999686,0.0013527799999999961,1.0143015299881635,0.3109304411616622,retrieval_only
retrieval_only:E1,retrieval_only:E4,evidence_overlap,500,0.1353838,0.0273846,0.1079992,0.10199517000000001,0.11393468999999999,35.39061248691972,3.721183584129371e-138,retrieval_only
retrieval_only:E1,retrieval_only:E4,rouge_l,500,0.1780002,0.11912099999999999,0.05887920000000001,0.053879180000000006,0.063856075,23.043005896256027,1.4826086021901134e-80,retrieval_only
retrieval_only:E1,retrieval_only:E4,semantic_sim,500,0.8975894000000001,0.911473,-0.013883599999999998,-0.016646384999999996,-0.011131084999999997,-9.786197998903916,8.334587909931528e-21,retrieval_only
retrieval_only:E1,retrieval_only:E4,bert_score_f1,500,0.835943,0.8007531999999999,0.0351898,0.03384435,0.03653869499999999,51.49604854341128,8.101338315525379e-202,retrieval_only
kg_only:E1,kg_only:E2,evidence_overlap,500,0.1983664,0.1928488,0.005517600000000001,-0.000795905,0.011814184999999998,1.7439620595900855,0.0817814895066108,kg_only
kg_only:E1,kg_only:E2,rouge_l,500,0.21248140000000001,0.1928824,0.019599000000000002,0.013155424999999998,0.026070324999999995,6.044212842172856,2.9418256237961766e-09,kg_only
kg_only:E1,kg_only:E2,semantic_sim,500,0.9458328,0.9550607999999999,-0.009227999999999995,-0.010938859999999996,-0.0073787699999999954,-10.259388156506727,1.5479921195910317e-22,kg_only
kg_only:E1,kg_only:E2,bert_score_f1,500,0.8832624000000001,0.8869333999999999,-0.0036709999999999994,-0.005363664999999998,-0.0020291899999999976,-4.3326781942905415,1.781939624563107e-05,kg_only
kg_only:E1,kg_only:E3,evidence_overlap,500,0.1983664,0.19212680000000001,0.006239600000000001,0.0005442850000000013,0.011996319999999994,2.0948400323368266,0.03668882493581563,kg_only
kg_only:E1,kg_only:E3,rouge_l,500,0.21248140000000001,0.197684,0.0147974,0.008654215000000002,0.021112509999999998,4.829485266036648,1.8235641502244455e-06,kg_only
kg_only:E1,kg_only:E3,semantic_sim,500,0.9458328,0.9460609999999999,-0.00022819999999999663,-0.002235744999999995,0.0017840500000000012,-0.22990488428697184,0.8182598927896877,kg_only
kg_only:E1,kg_only:E3,bert_score_f1,500,0.8832624000000001,0.8796818,0.0035805999999999998,0.0021609750000000007,0.004922049999999999,5.047028424501831,6.297754756543135e-07,kg_only
kg_only:E1,kg_only:E4,evidence_overlap,500,0.1983664,0.0641958,0.1341706,0.12642129000000002,0.1422207,32.32043000093343,1.8749778361791644e-124,kg_only
kg_only:E1,kg_only:E4,rouge_l,500,0.21248140000000001,0.10324080000000001,0.10924060000000001,0.10221726999999999,0.116450135,29.591817954035868,7.002147037081715e-112,kg_only
kg_only:E1,kg_only:E4,semantic_sim,500,0.9458328,0.9372176,0.008615200000000003,0.006247195000000004,0.011125314999999998,6.760367614876768,3.8556019622875425e-11,kg_only
kg_only:E1,kg_only:E4,bert_score_f1,500,0.8832624000000001,0.8356764000000001,0.047585999999999996,0.04536955999999999,0.049870105000000005,40.93038186426804,1.330756914722398e-161,kg_only
